Model Name,Dep Thresh,AND Thresh,Loop Thresh,Perfect Fitting Traces (%),Average Trace Fitness,Precision,Generalization,Node Size,Arc Size,Cyclicity
heu_top100_dep_0.90_and_0.95_loop_0.30,0.9,0.95,0.3,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.90_and_0.95_loop_0.65,0.9,0.95,0.65,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.90_and_0.95_loop_0.90,0.9,0.95,0.9,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.90_and_0.95_loop_0.95,0.9,0.95,0.95,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.90_and_0.95_loop_0.99,0.9,0.95,0.99,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.90_and_0.99_loop_0.30,0.9,0.99,0.3,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.90_and_0.99_loop_0.65,0.9,0.99,0.65,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.90_and_0.99_loop_0.90,0.9,0.99,0.9,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.90_and_0.99_loop_0.95,0.9,0.99,0.95,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.90_and_0.99_loop_0.99,0.9,0.99,0.99,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.95_and_0.95_loop_0.30,0.95,0.95,0.3,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.95_and_0.95_loop_0.65,0.95,0.95,0.65,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.95_and_0.95_loop_0.90,0.95,0.95,0.9,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.95_and_0.95_loop_0.95,0.95,0.95,0.95,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.95_and_0.95_loop_0.99,0.95,0.95,0.99,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.95_and_0.99_loop_0.30,0.95,0.99,0.3,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.95_and_0.99_loop_0.65,0.95,0.99,0.65,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.95_and_0.99_loop_0.90,0.95,0.99,0.9,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.95_and_0.99_loop_0.95,0.95,0.99,0.95,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.95_and_0.99_loop_0.99,0.95,0.99,0.99,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.99_and_0.95_loop_0.30,0.99,0.95,0.3,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.99_and_0.95_loop_0.65,0.99,0.95,0.65,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.99_and_0.95_loop_0.90,0.99,0.95,0.9,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.99_and_0.95_loop_0.95,0.99,0.95,0.95,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
heu_top100_dep_0.99_and_0.95_loop_0.99,0.99,0.95,0.99,30.34,0.9387574095188322,0.9295371640538782,0.9866240959794624,70,89,0.6714285714285714
