Model Name,Noise Thresh,Perfect Fitting Traces (%),Average Trace Fitness,Precision,Generalization,Node Size,Arc Size,Cyclicity
ind_top610_noise_0.00,0.0,99.64,0.9998883058970663,0.32718420581386976,0.9714014795819617,133,172,0.8195488721804511
ind_top610_noise_0.10,0.1,61.65,0.9815785140795115,0.6680062476111701,0.9413026537630418,88,108,0.5227272727272727
ind_top610_noise_0.20,0.2,68.71,0.9775167341567728,0.6243372927263402,0.9355626458535402,99,122,0.8282828282828283
ind_top610_noise_0.30,0.3,52.94,0.9698452547186767,0.6283446539500666,0.9181444128057366,99,122,0.8282828282828283
ind_top610_noise_0.40,0.4,29.89,0.9481633676143242,0.6406765880683756,0.9153942960169091,97,120,0.8350515463917526
ind_top610_noise_0.50,0.5,14.87,0.9254540267528828,0.643103455218802,0.9139028212702202,96,118,0.8333333333333334
ind_top610_noise_0.60,0.6,1.9,0.8837265977823473,0.6966847070653299,0.8907680091125983,63,76,0.3968253968253968
ind_top610_noise_0.70,0.7,3.42,0.8730646356250753,0.636526297875559,0.8273844415703742,62,76,0.3870967741935484
ind_top610_noise_0.90,0.9,0.16,0.8484996705310818,0.9059563995543509,0.8817215441581654,42,46,0.42857142857142855
ind_top610_noise_0.99,0.99,0.16,0.8484996705310818,0.9059563995543509,0.8817215441581654,42,46,0.42857142857142855
ind_top610_noise_0.80,0.8,0.6,0.8441078999791773,0.6801028396994828,0.8751631336648563,55,66,0.45454545454545453
